date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Jul%202023%2006:04:20%20GMT	https://tunatheme.com/robots.txt		(from )
13:04:24	146400/146400	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2023:20:10%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/index-2.html	(from )
13:04:25	1097/1097	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2000:55:20%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/img/favicon.png	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/img/favicon.png	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:04:30	100840/100840	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2007:10:14%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/css/font-icons.css	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/css/font-icons.css	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:06:30	1506/1506	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2008:09:54%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/css/responsive.css	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/css/responsive.css	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:06:31	389444/389444	---M--	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2000:03:08%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/css/style.css	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/css/style.css	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:08:32	142165/142165	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2023:15:54%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/index.html	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/index.html	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:08:38	2764/2764	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Mar%202021%2022:54:04%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/img/logo.png	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/img/logo.png	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:08:44	63109/63109	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20May%202021%2009:19:14%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/img/home-demos/home-2.jpg	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/img/home-demos/home-2.jpg	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
13:08:45	113543/113543	---M--	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2023:20:18%20GMT	https://tunatheme.com/tf/html/quarter-preview/quarter/index-3.html	C:/My%20Web%20Sites/batdongsan1/tunatheme.com/tf/html/quarter-preview/quarter/index-3.html	(from https://tunatheme.com/tf/html/quarter-preview/quarter/index-2.html)
